   80   80
    nn     x     y    ss   oprev dprev   odist     ddist     oarea     darea  tareadiff
  1636    36    21   2.0  1557  1795     30258     37452     32580      8240      2600
  1637    37    21   3.0  1638  1636     30144     38077     29580      8830       190
  1638    38    21   3.0  1560  1718     29394     37964     28990      9275        45
  1639    39    21   2.0  1560  1798     28859     37957     28395      9855        30
  1640    40    21   3.0  1561  1719     28609     38445     27790     10435         5
  1641    41    21   3.0  1482  1719     28276     38974     27190     11020        10
  1642    42    21   2.0  1483  1641     27863     39599     26570     11610        40
  1643    43    21   2.0  1563  1642     27745     40099     25970     12200        50
  1644    44    21   3.0  1566  1643     27134     40724     24985     12790       445
  1645    45    21   2.0  1566  1644     26584     41349     24390     13380       450
  1646    46    21   2.0  1567  1645     26210     41849     23785     13970       465
  1647    47    21   2.0  1569  1646     25879     42349     23130     14560       530
  1648    48    21   3.0  1570  1647     25365     42974     22525     15150       545
  1649    49    21   3.0  1571  1648     24724     43724     21890     15740       590
  1650    50    21   3.0  1571  1730     24070     44214     21295     16015       910
  1651    51    21   2.0  1572  1730     23557     44311     20690     16600       930
  1652    52    21   2.0  1493  1731     23187     44692     20090     17175       955
  1653    53    21   2.0  1573  1731     22965     45103     19485     17760       975
  1654    54    21   3.0  1655  1653     22866     45728     18715     18350      1155
  1655    55    21   2.0  1576  1654     22241     46353     18125     18940      1155
  1656    56    21   2.0  1576  1655     21983     46853     17530     19530      1160
  1657    57    21   4.0  1578  1656     22171     47603     16905     20120      1195
  1658    58    21   2.0  1578  1657     21611     48353     16310     20710      1200
  1659    59    21   2.0  1578  1578     21833     48842     15715     22225       280
  1660    60    21   4.0  1659  1659     22583     49592     15125     22815       280
  1661    61    21   4.0  1582  1660     22902     50592     13420     23405      1395
  1662    62    21   2.0  1582  1580     22342     51227     12825     24025      1370
  1663    63    21   4.0  1504  1822     22304     51833     12085     19620      6515
  1664    64    21   4.0  1505  1743     22002     52507     11465     20200      6555
  1665    65    21   5.0  1585  1743     21965     53468     10865     20785      6570
  1666    66    21   4.0  1585  1825     22197     53703     10270     21275      6675
  1667    67    21   4.0  1588  1746     21423     54194      9035     21855      7330
  1668    68    21   2.0  1509  1746     20737     54757      8435     22440      7345
  1669    69    21   3.0  1589  1747     20689     55353      7815     23020      7385
  1670    70    21   4.0  1671  1669     20345     56228      6090     23610      8520
  1671    71    21   5.0  1672  1670     19220     57353      5500     24200      8520
  1672    72    21   4.0  1673  1671     18095     58478      4910     24790      8520
  1673    73    21   2.0  1674  1591     17345     59185      4320     25425      8475
  1674    74    21   2.0  1596  1592     16845     59626      3730     26025      8465
  1675    75    21   2.0  1596  1674     16465     60126      3135     26615      8470
  1676    76    21   4.0  1596  1675     16477     60876      2540     27205      8475
  1677    77    21   2.0  1598  1596     16033     61497      1870     27810      8540
  1678    78    21   2.0  1519  1677     15775     61997      1265     28400      8555
  1679    79    21   2.0  1599  1678     15613     62497       665     28990      8565
  1680    80    21   3.0  1519  1679     15775     63122        65     29580      8575
  1681     1    22   4.0  1682  1762     60142     49794     53380     -7375      7785
  1682     2    22   6.0  1683  1764     58892     49060     52800     -6835      7745
  1683     3    22   4.0  1684  1764     57642     47871     52220     -6260      7740
  1684     4    22   5.0  1685  1845     56517     47314     51640     -5690      7730
  1685     5    22   5.0  1686  1846     55267     46861     51060     -5155      7685
  1686     6    22   5.0  1687  1767     54017     46179     50480     -4680      7580
  1687     7    22   4.0  1688  1848     52892     45401     49900     -4120      7560
  1688     8    22   5.0  1689  1770     51767     44399     49320     -3765      7335
  1689     9    22   5.0  1690  1770     50517     43226     48740     -3190      7330
  1690    10    22   5.0  1691  1772     49267     42534     48160     -2660      7280
  1691    11    22   5.0  1692  1772     48017     41420     47580     -2085      7275
  1692    12    22   6.0  1693  1853     46642     40714     47000     -1515      7265
  1693    13    22   6.0  1694  1774     45142     40280     46420     -1085      7115
  1694    14    22   4.0  1695  1775     43892     39329     45840      -570      7050
  1695    15    22   5.0  1696  1776     42767     38664     45260       -15      7025
  1696    16    22   4.0  1697  1776     41642     38074     44680       560      7020
  1697    17    22   3.0  1698  1777     40767     37758     44100      1120      7000
  1698    18    22   2.0  1699  1699     40142     37665     43520       -70      5230
  1699    19    22   2.0  1621  1780     39642     37165     42940       510      5230
  1700    20    22   3.0  1622  1781     39246     37009     42345       980      5105
  1701    21    22   2.0  1622  1862     38711     36641     41760      1545      5085
  1702    22    22   3.0  1622  1782     38614     36648     41175      2115      5070
  1703    23    22   3.0  1704  1784     37911     36688     40350      1470      3600
  1704    24    22   2.0  1705  1865     37286     36305     39770      2035      3585
  1705    25    22   2.0  1706  1785     36786     36187     39190      2605      3575
  1706    26    22   2.0  1628  1785     36286     36409     38610      3180      3570
  1707    27    22   4.0  1629  1868     35676     36535     38020      3525      3325
  1708    28    22   4.0  1630  1788     34911     36204     37430      4095      3305
  1709    29    22   4.0  1630  1789     34171     35932     36845      4625      3250
  1710    30    22   4.0  1631  1869     33695     36219     36215      5195      3190
  1711    31    22   4.0  1632  1870     33374     36675     35620      5745      3145
  1712    32    22   3.0  1632  1792     32918     36509     35035      6285      3100
  1713    33    22   3.0  1634  1874     32259     36730     34365      6545      2690
  1714    34    22   4.0  1635  1875     32014     36812     33760      7090      2630
  1715    35    22   4.0  1636  1795     31334     36525     33165      7660      2605
  1716    36    22   4.0  1636  1795     31008     36866     32580      8235      2595
  1717    37    22   4.0  1718  1797     30331     37361     29560      8775       115
  1718    38    22   2.0  1639  1798     29581     37339     28980      9275        35
  1719    39    22   2.0  1639  1798     29359     37577     28395      9850        25
  1720    40    22   2.0  1561  1719     29123     38077     27785     10430         5
  1721    41    22   4.0  1642  1720     28908     38827     27155     11010        55
  1722    42    22   2.0  1563  1721     28363     39577     26560     11590        70
  1723    43    22   2.0  1644  1802     28033     39996     25570     12090       560
  1724    44    22   4.0  1645  1803     27644     40660     24975     12655       590
  1725    45    22   3.0  1646  1804     27093     41016     24370     13215       635
  1726    46    22   3.0  1567  1804     26760     41514     23780     13790       650
  1727    47    22   3.0  1809  1805     26398     42154     23000     14350       870
  1728    48    22   3.0  1729  1727     25654     42904     22435     14930       855
  1729    49    22   3.0  1730  1808     24904     43354     21855     15450       915
  1730    50    22   2.0  1651  1809     24279     43589     21275     16015       930
  1731    51    22   2.0  1652  1809     23894     43985     20675     16590       955
  1732    52    22   2.0  1573  1810     23597     44485     20075     17150       995
  1733    53    22   2.0  1653  1811     23465     44985     19485     17710      1025
  1734    54    22   3.0  1655  1733     23140     45610     18710     18290      1220
  1735    55    22   3.0  1576  1734     22755     46360     18120     18870      1230
  1736    56    22   3.0  1656  1735     22608     47110     17530     19450      1240
  1737    57    22   3.0  1658  1655     22541     47750     16895     20110      1215
  1738    58    22   4.0  1658  1737     22361     48625     16310     20690      1220
  1739    59    22   3.0  1578  1658     22368     49252     15720     21295      1205
  1740    60    22   3.0  1659  1658     22748     49750     15130     21880      1210
  1741    61    22   4.0  1662  1740     23418     50625     13410     22460      2350
  1742    62    22   3.0  1662  1822     22967     50642     12825     19040      6355
  1743    63    22   4.0  1584  1822     23208     51093     12065     19615      6540
  1744    64    22   4.0  1664  1822     23002     51973     11465     20190      6565
  1745    65    22   3.0  1665  1825     22965     52651     10865     20695      6660
  1746    66    22   3.0  1668  1825     22553     52941      9605     21270      7345
  1747    67    22   4.0  1668  1746     21797     53816      9020     21850      7350
  1748    68    22   2.0  1668  1827     21237     54490      8435     22405      7380
  1749    69    22   4.0  1750  1748     21551     55240      6650     22985      8585
  1750    70    22   5.0  1751  1749     20426     56365      6070     23565      8585
  1751    71    22   4.0  1673  1750     19301     57490      5490     24145      8585
  1752    72    22   4.0  1673  1831     18436     58292      4905     24685      8630
  1753    73    22   4.0  1675  1831     17862     59281      4305     25260      8655
  1754    74    22   2.0  1675  1673     17172     59923      3720     26010      8490
  1755    75    22   2.0  1675  1673     16965     60303      3135     26595      8490
  1756    76    22   4.0  1677  1674     17140     61023      2455     27195      8570
  1757    77    22   5.0  1598  1756     16827     62148      1865     27775      8580
  1758    78    22   5.0  1678  1677     16650     62734      1265     28395      8560
  1759    79    22   3.0  1679  1678     16238     62912       665     28985      8570
  1760    80    22   4.0  1680  1678     16650     63534        65     29570      8585
  1761     1    23   4.0  1683  1843     60297     49231     53370     -7355      7795
  1762     2    23   5.0  1684  1844     59172     48188     52790     -6800      7770
  1763     3    23   5.0  1764  1844     58047     47160     52190     -6235      7735
  1764     4    23   5.0  1765  1845     56797     46265     51620     -5685      7715
  1765     5    23   5.0  1687  1845     55547     45784     51050     -5120      7710
  1766     6    23   5.0  1688  1847     54422     45247     50470     -4665      7585
  1767     7    23   5.0  1689  1928     53451     44427     49890     -4105      7565
  1768     8    23   6.0  1769  1849     52312     43695     49300     -3630      7450
  1769     9    23   6.0  1691  1850     50812     42776     48730     -3080      7430
  1770    10    23   4.0  1692  1851     49576     41604     48150     -2615      7315
  1771    11    23   6.0  1772  1852     48378     40656     47530     -2060      7250
  1772    12    23   6.0  1773  1853     46878     39460     46960     -1510      7230
  1773    13    23   6.0  1774  1853     45378     38875     46390      -945      7225
  1774    14    23   4.0  1775  1855     44128     38513     45820      -510      7090
  1775    15    23   5.0  1697  1856     43003     37739     45250         5      7035
  1776    16    23   4.0  1698  1937     41958     37074     44670       560      7010
  1777    17    23   4.0  1698  1857     41218     36883     44095      1120      6995
  1778    18    23   4.0  1699  1937     40687     37214     43515      1680      6975
  1779    19    23   3.0  1780  1860     40058     36810     42905       520      5205
  1780    20    23   2.0  1701  1860     39433     36427     42335      1085      5200
  1781    21    23   2.0  1782  1942     39154     36141     41470      1555      4805
  1782    22    23   2.0  1783  1862     38654     36023     40900      2115      4795
  1783    23    23   3.0  1784  1863     38029     36266     40330      2665      4775
  1784    24    23   2.0  1706  1945     37404     35805     39760      2045      3585
  1785    25    23   2.0  1706  1865     37008     35687     39185      2605      3570
  1786    26    23   3.0  1707  1865     36897     36070     38595      3170      3545
  1787    27    23   4.0  1709  1948     36267     35770     37995      3535      3310
  1788    28    23   3.0  1709  1868     35392     35329     37420      4095      3295
  1789    29    23   2.0  1710  1869     34771     35182     36790      4625      3195
  1790    30    23   3.0  1631  1949     34451     35454     36210      5185      3175
  1791    31    23   4.0  1792  1950     33892     35785     35510      5725      3015
  1792    32    23   2.0  1713  1871     33142     35884     34940      6285      3005
  1793    33    23   2.0  1634  1954     32850     36105     34360      6555      2695
  1794    34    23   3.0  1715  1874     32555     35943     33740      7115      2635
  1795    35    23   2.0  1636  1875     31935     35775     33160      7660      2600
  1796    36    23   4.0  1797  1955     31355     36261     30125      8215       120
  1797    37    23   3.0  1718  1876     30480     36486     29555      8775       110
  1798    38    23   2.0  1639  1878     29977     36839     28975      9275        30
  1799    39    23   4.0  1719  1878     30109     37384     28395      9840        15
  1800    40    23   3.0  1720  1879     29748     37950     27785     10395        40
  1801    41    23   5.0  1723  1879     29570     38830     26720     10960       540
  1802    42    23   2.0  1723  1881     28740     39289     26145     11515       560
  1803    43    23   2.0  1885  1881     28487     39631     25230     12080       910
  1804    44    23   2.0  1725  1882     27992     40117     24945     12640       635
  1805    45    23   2.0  1806  1883     27501     40617     24130     13200       890
  1806    46    23   3.0  1807  1805     26876     41242     23560     13770       890
  1807    47    23   3.0  1808  1806     26126     41992     22990     14340       890
  1808    48    23   2.0  1809  1887     25501     42471     22420     14875       925
  1809    49    23   2.0  1730  1887     25001     42867     21850     15440       930
  1810    50    23   2.0  1731  1888     24601     43367     21250     16000       970
  1811    51    23   2.0  1732  1889     24304     43867     20650     16560      1010
  1812    52    23   2.0  1653  1890     24083     44367     20065     17120      1035
  1813    53    23   3.0  1733  1812     24090     44992     19485     17690      1045
  1814    54    23   3.0  1655  1892     23778     45646     18705     18240      1275
  1815    55    23   3.0  1735  1893     23505     46286     18120     18800      1300
  1816    56    23   3.0  1736  1894     23358     46911     17530     19360      1330
  1817    57    23   4.0  1737  1816     23416     47786     16895     19930      1395
  1818    58    23   4.0  1738  1817     23361     48786     16310     20500      1410
  1819    59    23   3.0  1739  1818     23118     49661     15720     21070      1430
  1820    60    23   4.0  1659  1979     23510     50320     15135     17955      5130
  1821    61    23   4.0  1740  1901     24001     49998     14555     18475      5190
  1822    62    23   2.0  1742  1901     23592     50017     12825     19040      6355
  1823    63    23   4.0  1662  1822     24158     50767     12245     19610      6365
  1824    64    23   4.0  1744  1823     24002     51767     11465     20180      6575
  1825    65    23   2.0  1746  1904     23468     52026     10180     20695      7345
  1826    66    23   4.0  1827  1904     23042     52685      9580     21260      7380
  1827    67    23   3.0  1748  1826     22167     53560      9010     21830      7380
  1828    68    23   4.0  1748  1827     21987     54435      8435     22400      7385
  1829    69    23   4.0  1830  1828     21293     55435      6620     22970      8630
  1830    70    23   4.0  1831  1829     20293     56435      6050     23540      8630
  1831    71    23   2.0  1752  1830     19543     57185      5480     24110      8630
  1832    72    23   5.0  1754  1831     19268     58060      4870     24680      8670
  1833    73    23   4.0  1754  1832     18263     59185      4295     25250      8675
  1834    74    23   4.0  1675  1833     17862     60185      3715     25820      8685
  1835    75    23   4.0  1755  1754     17715     60983      3135     26585      8500
  1836    76    23   6.0  1755  1755     18379     61717      2560     27170      8490
  1837    77    23   5.0  1757  1756     18077     62645      1865     27770      8585
  1838    78    23   5.0  1759  1756     17699     63678      1240     28345      8635
  1839    79    23   6.0  1759  1759     17363     64037       665     28985      8570
  1840    80    23   6.0  1679  1759     17709     64518        85     29560      8575
  1841     1    24   5.0  1762  1922     60939     48754     53355     -7140      7995
  1842     2    24   6.0  1843  1924     59702     47733     52720     -6770      7730
  1843     3    24   5.0  1844  1925     58327     46436     52160     -6225      7715
  1844     4    24   5.0  1766  1925     57077     45393     51600     -5670      7710
  1845     5    24   4.0  1767  2006     55966     44659     51020     -5120      7680
  1846     6    24   4.0  1767  2007     55073     44206     50455     -4585      7650
  1847     7    24   6.0  1848  1928     54150     43334     49840     -4100      7520
  1848     8    24   6.0  1770  2009     52650     42467     49280     -3550      7510
  1849     9    24   6.0  1770  1930     51375     41574     48715     -3065      7430
  1850    10    24   6.0  1851  2011     50062     40686     48070     -2515      7335
  1851    11    24   6.0  1852  1933     48562     39805     47510     -2050      7240
  1852    12    24   6.0  1774  1933     47062     38535     46950     -1495      7235
  1853    13    24   5.0  1774  2014     45781     37500     46385      -945      7220
  1854    14    24   7.0  1776  1934     44892     37360     45800      -395      7185
  1855    15    24   5.0  1777  2016     43454     36876     45225        55      7060
  1856    16    24   3.0  1777  2017     42455     36310     44660       570      7010
  1857    17    24   3.0  1778  1937     41940     36008     44080      1120      6980
  1858    18    24   4.0  1780  2017     41110     36310     43465      1670      6915
  1859    19    24   3.0  1860  1940     40251     36310     42555       530      4865
  1860    20    24   2.0  1861  1940     39626     35927     41995      1085      4860
  1861    21    24   2.0  1862  1942     39126     35761     41435      1560      4775
  1862    22    24   2.0  1863  1942     38626     35523     40875      2115      4770
  1863    23    24   2.0  1785  2022     38126     35641     40315      2665      4760
  1864    24    24   2.0  1785  1945     37715     35409     39750      2050      3580
  1865    25    24   2.0  1785  1945     37508     35187     39185      2605      3570
  1866    26    24   3.0  1867  1946     37270     35324     38305      3140      3225
  1867    27    24   4.0  1868  2028     36395     35006     37745      3545      3070
  1868    28    24   3.0  1869  1948     35520     34579     37185      4095      3060
  1869    29    24   2.0  1870  1949     34895     34682     36625      4625      3030
  1870    30    24   2.0  1871  2029     34395     34859     36065      5175      3020
  1871    31    24   2.0  1792  1950     33895     35131     35505      5720      3005
  1872    32    24   3.0  1713  1871     33656     35756     34935      6280      2995
  1873    33    24   4.0  1874  1954     33374     35644     31785      6560       125
  1874    34    24   3.0  1875  1954     32499     35193     31225      7115       120
  1875    35    24   2.0  1876  2034     31874     35275     30665      7660       105
  1876    36    24   2.0  1798  1955     31374     35571     30105      8210        95
  1877    37    24   3.0  1798  1956     30860     36074     29540      8730        50
  1878    38    24   2.0  1798  1957     30477     36339     28975      9275        30
  1879    39    24   3.0  1720  1957     30800     36874     28355      9830        35
  1880    40    24   3.0  1881  1879     30244     37624     26900     10390       930
  1881    41    24   3.0  1882  1880     29494     38374     26340     10950       930
  1882    42    24   2.0  1883  1881     28869     38999     25780     11510       930
  1883    43    24   2.0  1884  1882     28369     39499     25220     12070       930
  1884    44    24   2.0  1885  1883     27869     39999     24660     12630       930
  1885    45    24   2.0  1886  1884     27369     40499     24100     13190       930
  1886    46    24   3.0  1887  1885     26744     41124     23540     13750       930
  1887    47    24   2.0  1809  1886     26119     41749     22980     14310       930
  1888    48    24   2.0  1809  1887     25708     42249     22415     14870       935
  1889    49    24   2.0  1810  1888     25308     42749     21815     15430       975
  1890    50    24   2.0  1811  1889     25011     43249     21215     15990      1015
  1891    51    24   2.0  1732  1890     24715     43749     20645     16550      1025
  1892    52    24   2.0  1812  1891     24583     44249     20065     17110      1045
  1893    53    24   2.0  1734  1892     24677     44749     19280     17670      1270
  1894    54    24   3.0  1735  1893     24432     45374     18690     18230      1300
  1895    55    24   2.0  1815  1894     24130     45999     18120     18790      1310
  1896    56    24   4.0  1816  1895     24233     46749     17530     19350      1340
  1897    57    24   5.0  1817  1896     24541     47874     16895     19910      1415
  1898    58    24   4.0  1739  1897     24324     48999     16290     20470      1460
  1899    59    24   4.0  1819  1979     23993     49099     15720     17395      5105
  1900    60    24   4.0  1739  2059     24324     49415     15150     17945      5125
  1901    61    24   2.0  1822  1981     24361     49248     13390     18475      6355
  1902    62    24   4.0  1822  1981     24342     49808     12825     19030      6365
  1903    63    24   4.0  1822  1981     24683     50704     12260     19585      6375
  1904    64    24   2.0  1825  1983     24206     51288     10745     20130      7345
  1905    65    24   2.0  1825  1983     23968     51770     10180     20685      7355
  1906    66    24   4.0  1827  1905     23420     52520      9575     21245      7400
  1907    67    24   4.0  1827  1906     23042     53520      9010     21805      7405
  1908    68    24   4.0  1909  1907     22499     54520      7170     22365      8685
  1909    69    24   4.0  1831  1908     21499     55520      6610     22925      8685
  1910    70    24   4.0  1831  1989     20619     56216      6045     23110      9065
  1911    71    24   3.0  1831  1989     20168     56919      5480     23665      9075
  1912    72    24   5.0  1833  1911     19853     57919      4860     24225      9135
  1913    73    24   4.0  1754  1912     19128     59044      4290     24785      9145
  1914    74    24   4.0  1834  1913     18862     60044      3715     25345      9160
  1915    75    24   6.0  1835  1914     18965     61294      3135     25905      9180
  1916    76    24   6.0  1755  1835     19480     62782      2565     27150      8505
  1917    77    24   5.0  1837  1836     19327     63661      1865     27735      8620
  1918    78    24   5.0  1759  1837     18893     64412      1235     28335      8650
  1919    79    24   5.0  1839  1839     18738     65412       665     28985      8570
  1920    80    24 999.0     0     0  99999999  99999999         0         0     99999
  1921     1    25   5.0  2003  2003     60409     48004     52100     -7120      6760
  1922     2    25   5.0  2004  2004     59376     46971     51565     -6585      6760
  1923     3    25   5.0  2004  2004     58348     45943     51020     -6040      6760
  1924     4    25   5.0  2006  2006     57159     44799     50510     -5660      6630
  1925     5    25   5.0  2006  2006     56001     43641     49965     -5115      6630
  1926     6    25   6.0  2007  2007     55582     43222     49430     -4580      6630
  1927     7    25   6.0  2009  2008     54556     42413     48950     -4060      6670
  1928     8    25   6.0  1929  2009     53141     41213     48565     -3545      6800
  1929     9    25   6.0  1930  2090     51641     40544     48015     -3005      6790
  1930    10    25   6.0  1931  2011     50141     39453     47465     -2510      6735
  1931    11    25   6.0  1932  2092     48641     38565     46915     -1970      6725
  1932    12    25   6.0  1933  2013     47141     37857     46365     -1475      6670
  1933    13    25   5.0  1934  2014     45766     36591     45815      -940      6655
  1934    14    25   4.0  2016  2014     44641     35985     45265      -395      6650
  1935    15    25   4.0  1856  2096     43723     35831     45215        65      7060
  1936    16    25   4.0  1937  2016     42758     35515     44195       605      6580
  1937    17    25   3.0  1938  2017     41883     35258     43645      1120      6545
  1938    18    25   3.0  1939  2097     41133     35530     43095      1660      6535
  1939    19    25   3.0  1861  2100     40383     35804     42545       550      4875
  1940    20    25   2.0  1861  2020     39864     35427     41990      1085      4855
  1941    21    25   4.0  1863  2021     39523     35545     41425      1615      4820
  1942    22    25   2.0  1864  2022     38833     35023     40860      2115      4755
  1943    23    25   2.0  1864  2022     38437     35245     40305      2660      4745
  1944    24    25   3.0  1945  2025     38008     35055     39380      2060      3220
  1945    25    25   2.0  1946  2025     37383     34687     38830      2605      3215
  1946    26    25   2.0  1947  2026     36883     34699     38280      3140      3200
  1947    27    25   3.0  1948  2028     36258     34374     37730      3550      3060
  1948    28    25   2.0  1869  2028     35633     33954     37180      4095      3055
  1949    29    25   3.0  1870  2029     35278     34057     36620      4625      3025
  1950    30    25   3.0  1871  2109     34778     34248     36060      5165      3005
  1951    31    25   3.0  1871  2030     34520     34706     35505      5700      2985
  1952    32    25   4.0  1953  2033     34242     35041     32315      6030       125
  1953    33    25   4.0  1954  2033     33242     34700     31765      6575       120
  1954    34    25   2.0  1876  2113     32492     34568     31215      7115       110
  1955    35    25   2.0  1876  2034     32081     34864     30660      7655        95
  1956    36    25   2.0  1957  2035     31699     35206     30080      8175        35
  1957    37    25   2.0  1878  2035     31199     35617     29530      8720        30
  1958    38    25   2.0  1878  2036     30977     36028     28975      9255        10
  1959    39    25   4.0  1881  1958     31450     36778     27450      9805       965
  1960    40    25   4.0  1882  1959     30685     37778     26890     10355       975
  1961    41    25   4.0  1882  1960     29945     38778     26335     10905       980
  1962    42    25   4.0  1884  1880     29406     39580     25770     11500       950
  1963    43    25   3.0  1884  1882     28752     39898     25215     12065       940
  1964    44    25   3.0  1886  1883     28141     40382     24650     12625       945
  1965    45    25   2.0  1887  1884     27516     40721     24090     13185       945
  1966    46    25   3.0  1888  1884     26965     41256     23525     13740       955
  1967    47    25   2.0  1888  1966     26430     41881     22970     14290       960
  1968    48    25   3.0  1889  1967     26207     42506     22370     14840      1010
  1969    49    25   4.0  1810  1887     25998     43286     21810     15420       990
  1970    50    25   4.0  1811  1889     25701     43809     21210     15985      1025
  1971    51    25   2.0  1812  1890     25201     43987     20625     16545      1050
  1972    52    25   3.0  1892  1890     25208     44506     20065     17100      1055
  1973    53    25   4.0  1893  1891     25427     45286     19280     17660      1280
  1974    54    25   3.0  1815  1893     25042     45664     18680     18225      1315
  1975    55    25 999.0     0     0  99999999  99999999         0         0     99999
  1976    56    25   2.0  1896  2135     24983     46922     17530     15920      4770
  1977    57    25   4.0  1816  1976     25594     47672     16970     16470      4780
  1978    58    25   3.0  1819  2058     25074     48486     16280     16860      5080
  1979    59    25   3.0  1899  2059     24868     48224     15720     17395      5105
  1980    60    25   4.0  1819  2059     25214     48644     15160     17940      5120
  1981    61    25   2.0  1901  2060     24861     48748     13390     18475      6355
  1982    62    25   4.0  1902  1981     25342     49498     12825     19025      6370
  1983    63    25   3.0  1904  1982     25121     50373     11300     19575      7345
  1984    64    25   3.0  1825  1983     24725     51123     10740     20125      7355
  1985    65    25   3.0  1905  2064     24593     51831     10180     20430      7610
  1986    66    25   4.0  1827  1985     24263     52706      9570     20980      7670
  1987    67    25   4.0  1988  1986     23715     53706      7705     21530      8985
  1988    68    25   4.0  1910  2066     22715     54629      7155     22050      9015
  1989    69    25   3.0  1910  2068     21872     54963      6600     22555      9065
  1990    70    25   4.0  1831  1989     21359     55838      6040     23105      9075
  1991    71    25   5.0  1911  1990     21168     56963      5480     23655      9085
  1992    72    25   4.0  1913  1991     20589     58088      4845     24205      9170
  1993    73    25   6.0  1834  1992     20377     59338      4275     24755      9190
  1994    74    25   4.0  1914  1913     19862     60489      3715     25340      9165
  1995    75    25   6.0  1915  1913     20465     61559      3135     25895      9190
  1996    76    25   6.0  1835  1995     20789     63059      2575     26445      9200
  1997    77    25   5.0  1838  2076     20494     64290      1800     26770      9650
  1998    78    25   4.0  1918  2077     20018     64859      1235     27310      9675
  1999    79    25   4.0  1919  2077     19863     65811       665     27855      9700
  2000    80    25   5.0  1999  1999     20988     66936       115     28405      9700
  2001     1    26   6.0  2002  2081     60239     47175     52090      -470     13400
  2002     2    26   5.0  2003  2003     58864     46459     51550     -6570      6760
  2003     3    26   5.0  2085  2085     57614     45209     51010     -6030      6760
  2004     4    26   5.0  2085  2085     56581     44176     50475     -5495      6760
  2005     5    26   6.0  2087  2087     55489     43129     49950     -5100      6630
  2006     6    26   4.0  2088  2088     54364     42004     49420     -4570      6630
  2007     7    26   6.0  2088  2088     53492     41132     48885     -4035      6630
  2008     8    26   6.0  2090  2089     52577     40292     48390     -3515      6655
  2009     9    26   5.0  2091  2090     51342     39253     47860     -3000      6640
  2010    10    26   6.0  2011  2091     50142     38482     47390     -2475      6695
  2011    11    26   6.0  2012  2092     48642     37332     46850     -1965      6665
  2012    12    26   6.0  2013  2173     47142     36486     46310     -1435      6655
  2013    13    26   6.0  2095  2094     45642     35752     45770      -930      6620
  2014    14    26   4.0  2015  2094     44420     34985     45255      -395      6640
  2015    15    26   4.0  2016  2095     43420     35051     44715       125      6620
  2016    16    26   3.0  2017  2096     42545     34640     44175       605      6560
  2017    17    26   2.0  1939  2097     41920     34633     43635      1120      6535
  2018    18    26   3.0  1940  2097     41401     35016     43080      1655      6515
  2019    19    26   3.0  1940  2100     40763     35166     42535       555      4870
  2020    20    26   3.0  2021  2181     40444     34802     41935      1085      4800
  2021    21    26   3.0  1943  2101     39694     34670     41395      1615      4790
  2022    22    26   2.0  1943  2102     39159     34523     40850      2115      4745
  2023    23    26   3.0  2024  2102     38626     34922     39910      2650      4340
  2024    24    26   2.0  1946  2025     38001     34687     39370      2065      3215
  2025    25    26   2.0  1946  2106     37605     34187     38825      2605      3210
  2026    26    26   3.0  1948  2106     37170     34074     38270      3140      3190
  2027    27    26   3.0  1948  2108     36532     33891     37725      3565      3070
  2028    28    26   3.0  1948  2189     36258     33329     37180      4095      3055
  2029    29    26   4.0  1950  2109     36015     33182     36605      4625      3010
  2030    30    26   4.0  1871  2189     35572     33469     36055      5155      2990
  2031    31    26   4.0  2032  2110     34949     34052     32830      5685       295
  2032    32    26   4.0  2033  2113     33949     34510     32290      6040       110
  2033    33    26   2.0  1955  2113     33199     33950     31750      6575       105
  2034    34    26   2.0  1955  2113     32788     34157     31205      7110        95
  2035    35    26   2.0  1957  2114     32317     34499     30620      7630        30
  2036    36    26   2.0  1957  2114     31906     34910     30075      8165        20
  2037    37    26   2.0  1878  2115     31595     35410     29525      8695         0
  2038    38    26   4.0  1958  2037     31727     36160     28975      9235        10
  2039    39    26   4.0  1961  1958     32041     37119     27425      9800       995
  2040    40    26   3.0  1961  1958     31182     37844     26880     10345       995
  2041    41    26   3.0  2042  2040     30553     38594     26260     10885      1075
  2042    42    26   3.0  2043  2122     29803     39268     25720     11165      1335
  2043    43    26   3.0  1965  2122     29053     39558     25180     11700      1340
  2044    44    26   3.0  1965  2124     28431     40299     24635     12205      1380
  2045    45    26   4.0  1966  2124     28186     40734     24070     12740      1410
  2046    46    26   4.0  1967  2124     27490     41490     23515     13275      1430
  2047    47    26   3.0  1967  2125     27055     42255     22970     13805      1445
  2048    48    26   5.0  1968  1966     27207     43072     22370     14830      1020
  2049    49    26   4.0  1890  1968     26967     43774     21765     15385      1070
  2050    50    26   6.0  1971  1968     26630     44881     21170     15930      1120
  2051    51    26   5.0  1971  1971     26076     44862     20625     16545      1050
  2052    52    26   5.0  1972  1971     26208     45240     20065     17090      1065
  2053    53    26   2.0  1974  1972     25972     45452     19225     17645      1350
  2054    54    26   4.0  1974  2053     25917     46202     18680     18185      1355
  2055    55    26   2.0  2056  2135     26233     46165     18070     15380      4770
  2056    56    26   3.0  1976  2135     25608     46564     17530     15915      4775
  2057    57    26   4.0  1976  2056     26059     47439     16985     16455      4780
  2058    58    26   4.0  1899  2138     25949     47611     16270     16860      5090
  2059    59    26   2.0  1979  2138     25493     47599     15720     17395      5105
